fund_name,country,region,major region,inception,quintile,aum_bn,aum_date,lat,long,type,cumulative score,"Leader, Finalist, Other",Disclosure 1A,Disclosure 1B,Intention 1A,Intention 1B,Clarity 1A,Clarity 1B,Integration 1A,Integration 1B,Implementation 1A,Implementation 1B,Commitment 1A,Commitment 1B,Accountability 1A,Accountability 1B,Partnership 1A,Partnership 1B,Standards 1A,Standards 1B,Development 1A,Development 1B
California Public Employees' Retirement System (CalPERS),USA,North America,Americas,1932,1,326,2017,38.574402,-121.50487,GPF,96,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
California State Teachers' Retirement System (CalSTERS),USA,North America,Americas,1913,1,209,2017,38.585208,-121.509343,GPF,96,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Canada Pension Plan Investment Board (CPPIB),Canada,North America,Americas,1997,1,283,2018,45.503126,-73.561366,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
CDP Equity SpA,Italy,Europe,Europe,2011,3,4,2018,45.465713,9.173153,SWF,53,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail
Central Provident Fund Board,Singapore,Asia,Asia,1955,5,227,2017,3.159909,101.69503,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
China Investment Corporation,China,Asia,Asia,2007,3,814,2017,39.933303,116.432074,SWF,32,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass
City and County of San Francisco Employees' Retirement System,USA,North America,Americas,1921,3,22,2017,39.737288,-104.981629,GPF,59,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail
City of Zurich,Switzerland,Europe,Europe,1913,2,16,2017,47.37155,8.52748,GPF,70,Other Rated Fund,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Colorado Public Employees' Retirement Association (Colorado PERA),USA,North America,Americas,1931,2,47,2017,39.737288,-104.981629,GPF,88,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Pass
Commonwealth Superannuation Corp,Australia,Oceania,Asia,1976,1,39,2017,-35.24117,149.070456,GPF,90,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Connecticut Retirement Plans and Trust Funds (CRPTF),USA,North America,Americas,1972,2,32,2017,-35.2815,149.12513,GPF,75,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass
"Economic and Social Stabilization, and Pension Reserve Funds",Chile,Latin America,Americas,2001,3,23,2017,-33.441963,-70.655026,SWF,32,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
"Emergency Service & State Super, Victoria (ESSSuper)",Australia,Oceania,Asia,1986,2,27,2017,-37.81595,144.9586,GPF,67,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail
Emirates Investment Authority,UAE,MENA,EMEA,2007,4,45,2018,24.468287,54.339056,SWF,22,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Employees Provident Fund,Malaysia,Asia,Asia,1991,2,201,2017,59.335161,18.070801,GPF,73,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Fail
Employees Provident Fund,Nepal,Asia,Asia,1962,5,2,2016,27.678236,85.316853,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ERAFP (Etablissement de Retraite Additionnelle de la Fonction Publique),France,Europe,Europe,2003,1,26,2017,48.87761,2.319913,GPF,94,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
FAPES - BNDES,Brazil,Latin America,Americas,1974,4,3,2017,-22.908889,-43.181031,GPF,14,Other Rated Fund,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Federal Retirement Thrift,USA,North America,Americas,1986,5,557,2017,38.90204,-77.00637,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
First State Super,Australia,Oceania,Asia,1992,2,46,2017,-31.95429,115.85232,GPF,77,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Florida State Board of Administration,USA,North America,Americas,1943,3,192,2017,30.49136,-84.2461,GPF,47,Other Rated Fund,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Pass
Fonds de compensation (FDC),Luxembourg,Europe,Europe,2004,2,21,2017,49.614371,6.127665,GPF,80,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Fonds de Reserve pour les Retraites,France,Europe,Europe,2001,1,36,2017,48.859088,2.328057,GPF,96,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail
FUNCEF,Brazil,Latin America,Americas,1977,3,34,2016,-22.907716,-43.177281,GPF,62,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Future Fund,Australia,Oceania,Asia,2006,2,108,2018,-37.814344,144.969847,SWF,66,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
General Organization for Social Insurance,Saudi Arabia,MENA,EMEA,1969,4,448,2014,43.652222,-79.378704,GPF,11,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Fail,Fail
Georgia Employees Retirement System (ERSGA),USA,North America,Americas,1949,5,15,2018,33.80027,-84.40733,GPF,10,Other Rated Fund,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Georgia Teachers,USA,North America,Americas,1943,5,69,2017,33.80027,-84.40733,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
GIC,Singapore,Asia,Asia,1981,3,350,2017,1.27977,103.849739,SWF,44,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Government Employees Pension,South Korea,Asia,Asia,1960,3,15,2016,33.26131,126.61884,GPF,38,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Pass
"Government Employees Super Board, Western Australia (GESB)",Australia,Oceania,Asia,1939,3,18,2017,-37.81653,144.95655,GPF,35,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Government Pension Fund,Thailand,Asia,Asia,1997,3,23,2016,13.727332,100.539099,GPF,52,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail
Government Pension Fund – Global,Norway,Europe,Europe,1990,1,1019,2017,39.923916,116.310203,SWF,100,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail
Government Pension Investment Fund,Japan,Asia,Asia,2006,1,1445,2017,24.686081,46.715217,GPF,94,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Government Service Insurance System,Philippines,Asia,Asia,1936,5,30,2018,14.548687,120.987908,GPF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Grafische Bedrijven (PGB),Netherlands,Europe,Europe,1953,2,29,2018,52.33125,4.87724,GPF,77,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Greater Manchester Pension Fund,UK,Europe,Europe,1891,2,29,2018,53.48018,-2.15688,GPF,78,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Hawaii Employees Retirement System,USA,North America,Americas,1926,3,16,2018,21.30707,-157.86142,GPF,63,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Healthcare of Ontario Pension Plan (HOOPP),Canada,North America,Americas,1960,2,60,2017,43.64134,-79.38058,GPF,80,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Pass
Hesta,Australia,Oceania,Asia,1999,1,40,2017,-33.8151,151.00324,GPF,92,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail
Hong Kong Monetary Authority Investment Portfolio,China (Hong Kong),Asia,Asia,1993,3,534,2017,1.29976,103.845513,SWF,50,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Idaho's State Endowment Fund,USA,North America,Americas,1890,5,2,2017,43.61771,-116.20232,SWF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass
Illinois Municipal Retirement Fund (IMRF),USA,North America,Americas,1941,4,40,2017,41.84699,-87.92913,GPF,14,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Illinois State Board of Investment,USA,North America,Americas,1983,4,18,2018,41.90016,-87.63273,GPF,18,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Indiana Public Retirement,USA,North America,Americas,2011,5,32,2017,39.7954,-86.16151,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Industriens Pension,Denmark,Europe,Europe,1992,2,25,2018,55.68668,12.5468,GPF,76,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Investment Management Corporation of Ontario,Canada,North America,Americas,2016,3,60,2017,43.64829,-79.38195,GPF,64,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Iowa Public Employees Retirement System (IPERS),USA,North America,Americas,1953,4,31,2017,41.51877,-93.67038,GPF,14,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Ireland Strategic Investment Fund,Ireland,Europe,Europe,2014,1,10,2017,53.33932,-6.24013,SWF,91,Finalist,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail
Ithmar Capital,Morocco,MENA,EMEA,2011,3,2,2017,33.957584,-6.869547,SWF,41,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Japan National Public Service (Nenkin),Japan,Asia,Asia,2010,5,150,2017,35.696673,139.621965,GPF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass
JSC Samruk-Kazyna,Kazakhstan,Central Asia,Asia,2008,1,71,2017,51.131866,71.422923,SWF,91,Finalist,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Pass
Kansas Public Employees,USA,North America,Americas,1961,5,18,2017,39.05116,-95.67443,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Kentucky Teachers,USA,North America,Americas,1938,5,18,2017,38.1964,-84.82954,GPF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass
Keva,Finland,Europe,Europe,1988,2,62,2018,-37.814158,144.970378,GPF,84,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Khazanah Nasional Berhad,Malaysia,Asia,Asia,1994,1,39,2017,3.158477,101.712143,SWF,96,Leader's List,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Korea Investment Corporation,South Korea,Asia,Asia,2005,3,134,2017,37.560201,126.982933,SWF,42,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Kumpulan Wang Persaraan,Malaysia,Asia,Asia,2007,2,34,2018,3.148139,101.714438,GPF,65,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Kuwait Investment Authority,Kuwait,MENA,EMEA,1953,3,524,2017,29.3833,47.983894,SWF,38,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail
LGPS Access,UK,Europe,Europe,2016,4,55,2018,52.059311,1.15567,GPF,22,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
LGPS Border to Coast Pensions Partnership (BCPP),UK,Europe,Europe,2017,3,60,2018,53.7967,-1.5474,GPF,60,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
LGPS Brunel Pension Partnership,UK,Europe,Europe,2017,1,37,2018,51.49696,-0.13453,GPF,90,Finalist,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
LGPS Central Pool,UK,Europe,Europe,2017,2,52,2018,53.14324,-1.5534,GPF,80,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail
LGPS Dyfed Pension Fund (DPF),UK,Europe,Europe,2014,4,32,2018,51.86178,-4.30234,GPF,22,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
LGPS Local Pensions Partnership (LPP),UK,Europe,Europe,2016,2,21,2018,53.757609,-2.704393,GPF,84,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
LGPS London Collective Investment Vehicle (LCIV),UK,Europe,Europe,2017,2,45,2018,44.42025,26.126574,GPF,80,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
LGPS Strathclyde Pension Fund,UK,Europe,Europe,1972,1,26,2018,55.860867,-4.247692,GPF,96,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Los Angeles City Employees' Retirement System,USA,North America,Americas,1937,5,16,2017,34.051933,-118.24572,GPF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Los Angeles Fire & Police,USA,North America,Americas,1899,4,20,2017,34.04568,-118.23789,GPF,19,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Magistrenes Pensionskasse (MP Pension),Denmark,Europe,Europe,1960,2,16,2016,55.75476,12.539564,GPF,71,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Maine Public Employees Retirement System,USA,North America,Americas,1942,4,14,2017,44.309161,-69.788016,GPF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Maryland State Retirement,USA,North America,Americas,1941,2,49,2017,39.28975,-76.61243,GPF,81,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail
Massachusetts Pension Reserves Investment Management Board,USA,North America,Americas,1983,4,72,2017,42.359146,-71.055645,GPF,22,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Merseyside Pension Fund,UK,Europe,Europe,1974,2,11,2018,53.405553,-2.990285,GPF,84,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
